case_id,priority,resolver_class,source,source_id,source_name,canonical_id,canonical_name,distance_m,source_address,canonical_address,same_phone,same_website,exact_external_id,historical_link,evidence_label,evidence_confidence,reason_codes,reviewer_decision,approved_operation,reviewer_note
MATCH:osm:osm:node:12350543701,P1,PROBABLE_MATCH,osm,osm:node:12350543701,Bún chả cá Hờn,google_maps_2556,Bún chả cá 109,63.05,3 Kiệt 113 Nguyễn Chí Thanh,,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:osm:osm:node:13563775401,P0,HIGH_CONFIDENCE_MATCH,osm,osm:node:13563775401,Cross Coffee,google_maps_2715,CROSS COFFEE,32.93,88 Đường Trần Văn Dư,,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:osm:osm:node:6570781698,P0,HIGH_CONFIDENCE_MATCH,osm,osm:node:6570781698,Đồng Tiến Bakery,google_maps_1058,Đồng Tiến Bakery,3.04,575 Đường Điện Biên Phủ,,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:osm:osm:way:1463170014,P1,PROBABLE_MATCH,osm,osm:way:1463170014,Nhà Bếp Xưa,google_maps_1695,Nhà Bếp Xưa Restaurant,9.25,"64B Đường Hà Bổng, Đà Nẵng",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:008c2a2d-5f73-4d99-b995-ae843c6ae41a,P1,PROBABLE_MATCH,overture,overture:008c2a2d-5f73-4d99-b995-ae843c6ae41a,Hải sản Đà Nẵng - Bé Khuê,google_maps_2817,Hải Sản Bé Mơ,110.89,"14 Lê Đức Thọ, Sơn Trà, Đà Nẵng, Quận Sơn Trà, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:08955212-c94e-4d50-89ad-ab73a0defb0e,P0,HIGH_CONFIDENCE_MATCH,overture,overture:08955212-c94e-4d50-89ad-ab73a0defb0e,Bakery Hoàng Phát,google_maps_1602,Bakery Hoàng Phát,11.54,"34 Đường Phạm Văn Nghị, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:0b5d5134-5b87-4109-a53e-5887be0ceaea,P0,HIGH_CONFIDENCE_MATCH,overture,overture:0b5d5134-5b87-4109-a53e-5887be0ceaea,All Seasons Buffet Da Nang,google_maps_241,All Seasons Buffet Da Nang,7.63,"193 Đường Nguyễn Văn Thoại, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:0d60418c-cdb7-44f5-8afd-ab55c89deab9,P0,HIGH_CONFIDENCE_MATCH,overture,overture:0d60418c-cdb7-44f5-8afd-ab55c89deab9,Mơ Trà,google_maps_450,Mơ Trà,28.12,"7 Đường Phú Thạnh 7, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location,DEFER,,
MATCH:overture:overture:0e3390cd-10e4-4361-a178-657f56f117cf,P1,PROBABLE_MATCH,overture,overture:0e3390cd-10e4-4361-a178-657f56f117cf,Torino Bakery,google_maps_1792,Torino Bakery,8.85,"162 Đường Châu Thị Vĩnh Tế, Quận Ngũ Hành Sơn, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location,DEFER,,
MATCH:overture:overture:110a15fb-8fa6-4047-94e0-2030420fb526,P0,HIGH_CONFIDENCE_MATCH,overture,overture:110a15fb-8fa6-4047-94e0-2030420fb526,Quán Phở Gia Truyền 18A1,google_maps_1552,Quán Phở Gia Truyền 18A,11.18,"126 Đường Nguyễn Hữu Thọ, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:188e1a0f-b2a4-4fa7-8f86-08e5988c0451,P0,HIGH_CONFIDENCE_MATCH,overture,overture:188e1a0f-b2a4-4fa7-8f86-08e5988c0451,Nhà Hàng Hàn Quốc Gogubnam,google_maps_1708,Nhà Hàng Hàn Quốc Gogubnam Đà Nẵng,4.12,"100 Đường Dương Đình Nghệ, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:19f0bbd2-2f66-4a58-bafd-963ec3fc2c9b,P0,HIGH_CONFIDENCE_MATCH,overture,overture:19f0bbd2-2f66-4a58-bafd-963ec3fc2c9b,40Plus Cafe & Vinyl Music,google_maps_1557,40Plus Cafe & Vinyl Music,10.54,"139 Đường Nguyễn Sơn, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location,DEFER,,
MATCH:overture:overture:1ce1093f-0168-4f56-a60b-8c8047cae1c6,P0,HIGH_CONFIDENCE_MATCH,overture,overture:1ce1093f-0168-4f56-a60b-8c8047cae1c6,Đà Phin Cafe,google_maps_1905,Đà Phin Cafe,12.74,"41 Đường Đỗ Quang, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:1e1966bb-c0c8-40df-8e5d-db423558f2b2,P0,HIGH_CONFIDENCE_MATCH,overture,overture:1e1966bb-c0c8-40df-8e5d-db423558f2b2,Mỳ Quảng Cô Sáu,google_maps_2368,Mỳ Quảng Cô Sáu,31.73,"397 Đường Trần Hưng Đạo, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:1f62adf2-9f2c-4e84-95fc-18eef76781e7,P1,PROBABLE_MATCH,overture,overture:1f62adf2-9f2c-4e84-95fc-18eef76781e7,Ngon Hà Nội Xưa Restaurant,google_maps_1695,Nhà Bếp Xưa Restaurant,118.76,"291 Đường Hồ Nghinh, Quận Sơn Trà, VN",,false,false,false,true,UNCERTAIN,WEAK,insufficient_independent_evidence,DEFER,,
MATCH:overture:overture:29e4c47b-fb88-4aeb-b57a-cdd328a3c566,P1,PROBABLE_MATCH,overture,overture:29e4c47b-fb88-4aeb-b57a-cdd328a3c566,Cơm Niêu Nhà Đậu,google_maps_4788,Nhà Hàng Cơm Niêu Phù Sa,41.51,"6 Đường An Thượng 2, Quận Ngũ Hành Sơn, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:3a91290b-4c8f-473a-a817-597248389791,P1,PROBABLE_MATCH,overture,overture:3a91290b-4c8f-473a-a817-597248389791,Hải Sản Phủi,google_maps_2743,Hải Sản Phủi,53.38,"109 Đường Hồ Nghinh, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:3bb65a05-dc86-4f35-9d74-f1e734037d86,P1,PROBABLE_MATCH,overture,overture:3bb65a05-dc86-4f35-9d74-f1e734037d86,Hải Sản Bà Rô,google_maps_2582,Hải sản tươi sống Bà Rô,52.51,"118 Đường Lý Tử Tấn, Quận Sơn Trà, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
