source,sourceId,sourceName,canonicalPoiId,canonicalName,distanceMeters,nameSimilarity,categoryCompatibility,addressEvidence,decision,confidence,reasonCodes,licensePolicyClass,attribution
overture,overture:stage4b:thanh-tam-bakery,Thanh Tam Bakery and Coffee,google_maps_77,Thanh Tam Bakery and Coffee,0.5,1,1,true,high_confidence_match,0.9998,tight_distance|strong_name_similarity|category_compatible,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
overture,overture:stage4b:bo-ne-9-mon,Bo Ne 9 Mon Fast Food,google_maps_103,Bò Né 9 Món Fast Food,1.46,1,1,true,high_confidence_match,0.9994,tight_distance|strong_name_similarity|category_compatible,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
overture,overture:stage4b:semi-tra-sua,SEMI Tra Sua Hoa Khanh,google_maps_134,SÊMI Trà Sữa - Là Trà Đậm Vị - Hòa Khánh,1.26,0.625,1,true,probable_match,0.782,nearby_coordinates|usable_name_similarity|category_compatible,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
overture,overture:stage4b:anh-quan-bakery-a,Anh Quan Bakery,google_maps_553,Anh Quân Bakery,37.8,1,1,true,ambiguous,0.9849,chain_branch_collision|multiple_same_name_nearby_candidates,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
overture,overture:stage4b:anh-quan-bakery-b,ANH QUAN BAKERY,google_maps_553,Anh Quân Bakery,42.12,1,1,true,ambiguous,0.9832,chain_branch_collision|multiple_same_name_nearby_candidates,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
overture,overture:stage4b:dragon-bridge,Dragon Bridge,google_maps_2213,Dragon Ball Rooftop,461.31,0.4737,0,false,new_entity_candidate,0.2902,no_credible_canonical_match,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
overture,overture:stage4b:my-khe-beach,My Khe Beach,google_maps_2643,My Khe Beach Hotel,1373.7,0.75,0,true,new_entity_candidate,0.435,no_credible_canonical_match,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
overture,overture:stage4b:invalid-coordinates,Invalid Coordinate Fixture,,,,,,false,invalid_coordinates,0,invalid_or_missing_coordinates,OPEN_PERMISSIVE_CANDIDATE,Overture Maps contributors
osm,osm:node:stage4b:thanh-tam,Thanh Tam Bakery & Coffee,google_maps_77,Thanh Tam Bakery and Coffee,1.45,1,1,true,high_confidence_match,0.9994,tight_distance|strong_name_similarity|category_compatible,OPEN_SHAREALIKE_ISOLATED,OpenStreetMap contributors
osm,osm:node:stage4b:semi-tea,Semi Tea Hoa Khanh,google_maps_134,SÊMI Trà Sữa - Là Trà Đậm Vị - Hòa Khánh,9.02,0.4722,1,true,new_entity_candidate,0.6903,no_credible_canonical_match,OPEN_SHAREALIKE_ISOLATED,OpenStreetMap contributors
osm,osm:node:stage4b:anh-quan,Anh Quan Bakery,google_maps_553,Anh Quân Bakery,37.92,1,1,true,ambiguous,0.9848,chain_branch_collision|multiple_same_name_nearby_candidates,OPEN_SHAREALIKE_ISOLATED,OpenStreetMap contributors
osm,osm:way:stage4b:han-market,Han Market,google_maps_1349,Hay marker,10262.96,0.8,0,false,new_entity_candidate,0.464,no_credible_canonical_match,OPEN_SHAREALIKE_ISOLATED,OpenStreetMap contributors
osm,osm:way:stage4b:my-khe-beach,Bai bien My Khe,google_maps_1434,Nhà Hàng Hải Sản - Ơ Kìa,3286.02,0.4667,0,false,new_entity_candidate,0.2707,no_credible_canonical_match,OPEN_SHAREALIKE_ISOLATED,OpenStreetMap contributors
wikidata,wikidata:Q726980,Dragon Bridge,google_maps_2213,Dragon Ball Rooftop,461.31,0.4737,0,false,new_entity_candidate,0.2902,no_credible_canonical_match,OPEN_PERMISSIVE_CANDIDATE,Wikidata contributors
wikidata,wikidata:Q12074333,My Khe Beach,google_maps_2643,My Khe Beach Hotel,1373.7,0.75,0,false,new_entity_candidate,0.435,no_credible_canonical_match,OPEN_PERMISSIVE_CANDIDATE,Wikidata contributors
wikidata,wikidata:Q611855,Museum of Cham Sculpture,google_maps_1851,Trà sữa Cloudy,27.02,0.25,0,true,new_entity_candidate,0.3342,no_credible_canonical_match,OPEN_PERMISSIVE_CANDIDATE,Wikidata contributors
wikimedia_commons,commons:file:stage4b:dragon-bridge,Dragon Bridge media candidate,,,,,,false,new_entity_candidate,0,no_credible_canonical_match,OPEN_MEDIA_ATTRIBUTION_REQUIRED,"File-level author, source URL, and license required"
